Kernel           Params                 Cycles    Instr  Packets   GEMM   SDMA MemOps Branch       AI   TheoFLOP   FLOP/cyc    IPC   Wall(ms)
AlexNet-conv     s0.05-L1               429133   429133   429133  36480   2470   2470 112100     0.04    8784600      20.47   1.00    15342.6
AlexNet-relu     s0.05-L2                 2806     2806     2806      0     24     24    408     1.52      12100       4.31   1.00      233.9
AlexNet-conv     s0.05-L4                34909    34909    34909   2944    230    230   9108     0.03    1749600      50.12   1.00     1212.4
AlexNet-relu     s0.05-L5                 2107     2107     2107      0     18     18    306     1.52       8748       4.15   1.00      188.5
AlexNet-conv     s0.05-L7                 9120     9120     9120    768     60     60   2376     0.02     693576      76.05   1.00      424.5
AlexNet-relu     s0.05-L8                  942      942      942      0      8      8    136     1.52       3211       3.41   1.00      148.1
AlexNet-conv     s0.05-L9                13620    13620    13620   1152     84     84   3552     0.02    1098162      80.63   1.00      559.5
AlexNet-relu     s0.05-L10                 942      942      942      0      8      8    136     1.52       3211       3.41   1.00      149.4
AlexNet-conv     s0.05-L11               13620    13620    13620   1152     84     84   3552     0.03     693576      50.92   1.00      623.1
AlexNet-relu     s0.05-L12                 476      476      476      0      4      4     68     1.53       2028       4.26   1.00       61.0
AlexNet-fc       s0.05-L14               18635    18635    18635     98    210    210   6582     0.02     176256       9.46   1.00      589.9
AlexNet-relu     s0.05-L15                  68       68       68      0      2      2      9     1.61        204       3.00   1.00       28.6
AlexNet-fc       s0.05-L16                9374     9374     9374     49    112    112   3299     0.03      83232       8.88   1.00      304.1
AlexNet-relu     s0.05-L17                  68       68       68      0      2      2      9     1.61        204       3.00   1.00       28.2
AlexNet-fc       s0.05-L18                2694     2694     2694     14     32     32    944     0.03      20400       7.57   1.00      106.3
AlexNet-softmax  s0.05-L19                  32       32       32      0      2      2      2     2.55        250       7.81   1.00       26.5
AlexNet-conv     s0.1-L1                429133   429133   429133  36480   2470   2470 112100     0.03   19765350      46.06   1.00    15610.3
AlexNet-relu     s0.1-L2                  6301     6301     6301      0     54     54    918     1.52      27225       4.32   1.00      496.5
AlexNet-conv     s0.1-L4                 69409    69409    69409   5888    414    414  18124     0.02    8201250     118.16   1.00     2240.3
AlexNet-relu     s0.1-L5                  4204     4204     4204      0     36     36    612     1.52      18225       4.34   1.00      340.9
AlexNet-conv     s0.1-L7                 36198    36198    36198   3072    216    216   9444     0.02    2889900      79.84   1.00     1050.9
AlexNet-relu     s0.1-L8                  1641     1641     1641      0     14     14    238     1.52       6422       3.91   1.00      148.8
AlexNet-conv     s0.1-L9                 49698    49698    49698   4224    288    288  12972     0.02    4392648      88.39   1.00     1432.2
AlexNet-relu     s0.1-L10                 1641     1641     1641      0     14     14    238     1.52       6422       3.91   1.00      147.3
AlexNet-conv     s0.1-L11                24870    24870    24870   2112    144    144   6492     0.02    2889900     116.20   1.00      818.5
AlexNet-relu     s0.1-L12                 1175     1175     1175      0     10     10    170     1.52       4225       3.60   1.00      112.4
AlexNet-fc       s0.1-L14                71444    71444    71444    377    780    780  25287     0.02     736200      10.30   1.00     2199.3
AlexNet-relu     s0.1-L15                  110      110      110      0      2      2     15     1.57        409       3.72   1.00       32.0
AlexNet-fc       s0.1-L16                32132    32132    32132    169    364    364  11351     0.02     334562      10.41   1.00     1007.7
AlexNet-relu     s0.1-L17                  110      110      110      0      2      2     15     1.57        409       3.72   1.00       31.8
AlexNet-fc       s0.1-L18                 9902     9902     9902     52    112    112   3494     0.02      81800       8.26   1.00      317.0
AlexNet-softmax  s0.1-L19                   54       54       54      0      2      2      4     2.53        500       9.26   1.00       27.7
Pipeline-Basic   dim=32,depth=2              0        0        0      0      0      0      0     0.00       4160    4160.00   0.00      765.3
Pipeline-AlexNet scale=0.01                  0        0        0      0      0      0      0     0.00          0       0.00   0.00     1868.3
Pipeline-AlexNet scale=0.02                  0        0        0      0      0      0      0     0.00          0       0.00   0.00     2161.6
Pipeline-AlexNet scale=0.05                  0        0        0      0      0      0      0     0.00          0       0.00   0.00     3726.7
